SP,Nova Castilho,230
SP,Ouroeste,231
SP,Paulistânia,232
SP,Pracinha,233
SP,Pratânia,234
SP,Quadra,235
SP,Ribeirão dos Índios,236
SP,Santa Cruz da Esperança,237
SP,Santa Salete,238
SP,Taquaral,239
SP,Trabiju,240
SP,Vitória Brasil,241
SP,Igarata,242
SP,Pirassununga,243
SP,Lourdes,244
SP,Santo Antônio do Aracanguá,245
SP,São João de Iracema,246
SP,Ilha Solteira,247
SP,Suzanápolis,248
SP,Canitar,249
SP,Engenheiro Coelho,250
SP,Tuiuti,251
SP,Estiva Gerbi,252
SP,Emilianópolis,253
SP,Pedrinhas Paulista,254
SP,Bertioga,255
SP,Ilha Comprida,256
SP,Ubarana,257
SP,Elisiário,258
SP,Marapoama,259
SP,Novais,260
SP,Aspásia,261
SP,Mesópolis,262
SP,Nova Canaã Paulista,263
SP,Pontalinda,264
SP,Parisi,265
SP,Arapeí,266
SP,Potim,267
SP,Alambari,268
SP,Barra do Chapéu,269
SP,Itaóca,270
SP,Itapirapuã Paulista,271
SP,Ribeirão Grande,272
SP,Bom Sucesso de Itararé,273
SP,Taquarivaí,274
SP,Alumínio,275
SP,Torre de Pedra,276
SP,Adolfo,277
SP,Aguaí,278
SP,Águas da Prata,279
SP,Águas de Lindóia,280
SP,Agudos,281
SP,Alfredo Marcondes,282
SP,Altair,283
SP,Altinópolis,284
SP,Alto Alegre,285
SP,Álvares Florence,286
SP,Álvares Machado,287
SP,Álvaro de Carvalho,288
SP,Alvinlândia,289
SP,Américo de Campos,290
SP,Analândia,291
SP,Andradina,292
SP,Anhumas,293
SP,Aparecida D'oeste,294
SP,Aramina,295
SP,Arandu,296
SP,Arealva,297
SP,Areias,298
SP,Areiópolis,299
SP,Ariranha,300
SP,Auriflama,301
SP,Avaí,302
SP,Avanhandava,303
SP,Bady Bassitt,304
SP,Balbinos,305
SP,Bálsamo,306
SP,Barbosa,307
SP,Barão de Antonina,308
SP,Bariri,309
SP,Barra do Turvo,310
SP,Bastos,311
SP,Bento de Abreu,312
SP,Bernardino de Campos,313
SP,Bilac,314
SP,Birigui,315
SP,Biritiba-Mirim,316
SP,Boa Esperança do Sul,317
SP,Bocaina,318
SP,Bofete,319
SP,Borá,320
SP,Braúna,321
SP,Brotas,322
SP,Buri,323
SP,Buritizal,324
SP,Cabrália Paulista,325
SP,Cachoeira Paulista,326
SP,Caconde,327
SP,Cafelândia,328
SP,Caiabu,329
SP,Caiuá,330
SP,Cajobi,331
SP,Cajuru,332
SP,Campos Novos Paulista,333
SP,Cananéia,334
SP,Cândido Mota,335
SP,Cândido Rodrigues,336
SP,Capela do Alto,337
SP,Cardoso,338
SP,Casa Branca,339
SP,Cássia dos Coqueiros,340
SP,Castilho,341
SP,Catiguá,342
SP,Cedral,343
SP,Cerqueira César,344
SP,Cesário Lange,345
SP,Chavantes,346
